ID,Name,Type,Level,Rarity,Auto Tier,Base Power,Balanced Attack,Balanced Defense,Auto Value,Auto Weight,Durability,Max Durability,Damage Type,Armor Type,Special Effect,Description,Power Score
380,Celestial Circlet,Armor,33,Uncommon,Tier 4,3,0,28,2640,9.6,228,270,,Heavy,Ice Resist 25%,Shows signs of age,32.2
381,Dark Cuirass of the Mountain,Armor,47,Common,Tier 5,4,0,32,3525,11.8,218,294,,Light,Aura: +5 Defense to Allies,Shows signs of age,32
382,Runic Pauldrons,Armor,20,Common,Tier 2,1.5,0,12,200,4.6,127,161,,Light,Ice Resist 25%,Surprisingly lightweight,12
383,Ethereal Shortsword of Death,Weapon,33,Epic,Tier 4,3,48,0,13200,10.5,382,429,Slashing,,+5 Ice Damage,Recently reforged,76.8
384,Obsidian Rod,Weapon,4,Common,Tier 1,1,10,0,20,1.9,47,77,Piercing,,,Holds mysterious power,10
385,Arcane Morning Star of the Dragon,Weapon,37,Epic,Tier 4,3,48,0,14800,10.9,414,492,Slashing,,Soul Eater,Glows with inner light,76.8
386,Golden Cleaver of Doom,Weapon,49,Epic,Tier 5,4,64,0,36750,14.5,497,563,Bludgeoning,,Attack Speed +15%,Surprisingly lightweight,102.4
387,Ethereal Cuirass,Armor,4,Rare,Tier 1,1,0,11,90,3.1,136,193,,Medium,+25 Health,Recovered from a great battle,14.9
388,Chain Pauldrons of the Protector,Armor,23,Common,Tier 3,2.2,0,18,460,6.3,156,184,,Light,Fire Resist 10%,Simple but effective,18
389,Chain Cloak,Armor,42,Common,Tier 5,4,0,32,3150,11.4,223,303,,Light,Poison Resist 50%,Battle-tested and true,32
390,Phantom Dirk,Weapon,39,Common,Tier 4,3,30,0,1560,8.4,262,264,Piercing,,+15 Lightning Damage,Resistant to corrosion,30
391,Enchanted Rapier of Glory,Weapon,25,Common,Tier 3,2.2,22,0,500,5.8,112,180,Bludgeoning,,Splash Damage,Perfectly balanced,22
392,Iron Rod,Weapon,20,Rare,Tier 2,1.5,20,0,900,5,227,284,Piercing,,Armor Penetration +15%,Crafted by master artisans,27
393,Adamant Club,Weapon,11,Common,Tier 2,1.5,15,0,110,3.4,94,123,Bludgeoning,,+15 Lightning Damage,One of a kind,15
394,Holy Greatsword,Weapon,29,Rare,Tier 3,2.2,30,0,2610,7.4,345,371,Piercing,,Extra Damage vs Demons,Crafted by master artisans,40.5
395,Shadow Buckler,Armor,50,Common,Tier 5,4,0,32,3750,12,346,348,,Heavy,Ice Resist 50%,Bears a royal crest,32
396,Ancient Cleaver,Weapon,5,Common,Tier 1,1,10,0,25,2,86,92,Bludgeoning,,Lifesteal 10%,Blessed by the gods,10
397,Ethereal Pauldrons of the Mountain,Armor,48,Common,Tier 5,4,0,32,3600,11.8,196,317,,Heavy,Aura: +5 Defense to Allies,Crafted with care,32
398,Void Cleaver,Weapon,12,Common,Tier 2,1.5,15,0,120,3.5,159,159,Bludgeoning,,Splash Damage,Worn by many warriors,15
399,Light Pauldrons,Armor,46,Common,Tier 5,4,0,32,3450,11.7,250,297,,Heavy,Fire Resist 10%,Resistant to corrosion,32
400,Holy Trident of Power,Weapon,15,Epic,Tier 2,1.5,24,0,1500,5.1,236,381,Bludgeoning,,+5 Fire Damage,Imbued with magical energy,38.4
401,Toxic Rapier of the Dragon,Weapon,49,Common,Tier 5,4,40,0,3675,10.9,223,301,Bludgeoning,,Critical +20%,A reliable piece of equipment,40
402,Golden Pike,Weapon,12,Common,Tier 2,1.5,15,0,120,3.5,102,132,Slashing,,Stun Chance 10%,Crafted with care,15
403,Enchanted Circlet,Armor,26,Uncommon,Tier 3,2.2,0,20,1040,7.1,210,278,,Heavy,Lightning Resist 10%,Whispers of ancient magic,23
404,Shadow Pants of the Guardian,Armor,21,Epic,Tier 3,2.2,0,28,4200,8.7,312,401,,Light,Damage Reduction 10%,Simple but effective,44.8
405,Phantom Staff of Doom,Weapon,38,Rare,Tier 4,3,41,0,6840,10,236,370,Bludgeoning,,,Never dulls,55.4
406,Blessed Sword of Death,Weapon,23,Common,Tier 3,2.2,22,0,460,5.6,125,176,Slashing,,Extra Damage vs Demons,Recovered from a great battle,22
407,Demon Hide Sabatons of the Protector,Armor,38,Common,Tier 4,3,0,24,1520,9,241,252,,Medium,,Blessed by the gods,24
408,Worn Crown,Armor,3,Rare,Tier 1,1,0,11,68,3,171,199,,Light,,Blessed by the gods,14.9
409,Ethereal Pike,Weapon,10,Rare,Tier 1,1,14,0,225,3.1,182,276,Bludgeoning,,+10 Poison Damage,Recovered from a great battle,18.9
410,Mythril Robe,Armor,14,Common,Tier 2,1.5,0,12,140,4.1,118,139,,Light,Fire Resist 25%,A reliable piece of equipment,12
411,Apocalypse,Weapon,43,Legendary,Tier 5,4,80,0,80625,16.3,649,696,Bludgeoning,,Critical +20%,Surprisingly sturdy,160
412,Celestial Rod,Weapon,31,Common,Tier 4,3,30,0,1240,7.6,194,212,Bludgeoning,,Lifesteal 5%,Blessed by the gods,30
413,Light Mace,Weapon,2,Common,Tier 1,1,10,0,10,1.7,98,106,Slashing,,Ignore Dodge,Marked with runes,10
414,Elven Trident of Eternity,Weapon,13,Epic,Tier 2,1.5,24,0,1300,4.9,358,392,Piercing,,Armor Penetration +15%,Found in ancient ruins,38.4
415,Flame Shortbow of Shadows,Weapon,24,Epic,Tier 3,2.2,35,0,4800,7.7,275,425,Slashing,,Extra Damage vs Dragons,Battle-tested and true,56
416,Demon Dirk of the Void,Weapon,9,Epic,Tier 1,1,16,0,450,3.3,239,310,Bludgeoning,,Cannot be Blocked,Imbued with magical energy,25.6
417,Toxic Wand of Lightning,Weapon,50,Epic,Tier 5,4,64,0,37500,14.6,339,547,Slashing,,,Worn by many warriors,102.4
418,Imperial Breastplate of Absorption,Armor,48,Epic,Tier 5,4,0,51,36000,16.6,554,580,,Heavy,Ice Resist 25%,Decorated with jewels,81.6
419,Dragon Rapier,Weapon,19,Uncommon,Tier 2,1.5,17,0,380,4.5,125,198,Piercing,,+5 Poison Damage,Forged by skilled hands,19.6
420,Ancient Shield of Defense,Armor,19,Common,Tier 2,1.5,0,12,190,4.5,118,147,,Medium,+2 All Stats,Decorated with jewels,12
421,Soulrender,Weapon,45,Legendary,Tier 5,4,80,0,84375,16.5,577,627,Slashing,,+50 Mana on Kill,Forged in dragon fire,160
422,Steel Sabatons,Armor,13,Rare,Tier 2,1.5,0,16,585,5,257,289,,Light,+50 Health,Crafted with care,21.6
423,Spectral War Axe of Ice,Weapon,4,Epic,Tier 1,1,16,0,200,2.8,212,340,Piercing,,Ignore Dodge,Rumored to be cursed,25.6
424,Mythril Scepter,Weapon,47,Uncommon,Tier 5,4,46,0,7050,11.6,220,363,Bludgeoning,,+5 Poison Damage,Marked with runes,52.9
425,Cursed Breastplate,Armor,9,Common,Tier 1,1,0,8,45,2.7,86,110,,Heavy,Magic Resist 15%,Found in ancient ruins,8
426,Holy Sword,Weapon,32,Uncommon,Tier 4,3,35,0,2560,8.5,265,288,Slashing,,Extra Damage vs Demons,Worn by many warriors,40.3
427,Ethereal Knife of Power,Weapon,23,Common,Tier 3,2.2,22,0,460,5.6,111,170,Piercing,,+10 Fire Damage,Masterwork quality,22
428,Iron Rapier,Weapon,15,Common,Tier 2,1.5,15,0,150,3.8,116,136,Piercing,,Attack Speed +5%,Surprisingly sturdy,15
429,Crystal Knife of the Phoenix,Weapon,13,Legendary,Tier 2,1.5,30,0,3250,5.8,298,457,Bludgeoning,,+50 Mana on Kill,Recovered from a great battle,60
430,Obsidian Hatchet,Weapon,42,Uncommon,Tier 5,4,46,0,6300,11.1,278,330,Piercing,,Cannot be Blocked,Crafted by master artisans,52.9
431,Ultimate Leggings,Armor,44,Legendary,Tier 5,4,0,64,82500,19.5,417,622,,Medium,Immune to Stun,Once wielded by a hero,128
432,Flame Dagger,Weapon,42,Rare,Tier 5,4,54,0,14175,12.3,315,410,Piercing,,,Decorated with jewels,72.9
433,Chain Kite Shield,Armor,34,Common,Tier 4,3,0,24,1360,8.7,233,242,,Medium,Health Regen +5,Holds mysterious power,24
434,Ancient Crossbow,Weapon,7,Common,Tier 1,1,10,0,35,2.2,87,104,Slashing,,Bleed Damage,Glows with inner light,10
435,Enchanted Buckler of Vitality,Armor,34,Epic,Tier 4,3,0,38,13600,12.2,322,445,,Heavy,Movement Speed +15%,Imbued with magical energy,60.8
436,Elven Pike,Weapon,7,Rare,Tier 1,1,14,0,158,2.8,221,241,Slashing,,,A reliable piece of equipment,18.9
437,Elven Crown of Bravery,Armor,10,Epic,Tier 1,1,0,13,500,4.1,195,302,,Medium,,Glows with inner light,20.8
438,Cursed Club of Lightning,Weapon,49,Epic,Tier 5,4,64,0,36750,14.5,384,535,Bludgeoning,,,Marked with runes,102.4
439,Dark Rod,Weapon,45,Rare,Tier 5,4,54,0,15188,12.6,311,412,Bludgeoning,,,Worn by many warriors,72.9
440,Iron Bow,Weapon,16,Common,Tier 2,1.5,15,0,160,3.9,115,176,Bludgeoning,,Splash Damage,Holds mysterious power,15
441,Plate Kite Shield,Armor,11,Rare,Tier 2,1.5,0,16,495,4.9,179,232,,Medium,Fire Resist 25%,Whispers of ancient magic,21.6
442,Thunder Dirk,Weapon,13,Uncommon,Tier 2,1.5,17,0,260,3.9,129,208,Bludgeoning,,Stun Chance 10%,Holds mysterious power,19.6
443,Orcish Cap of Resistance,Armor,40,Rare,Tier 4,3,0,32,7200,11.2,330,407,,Light,Mana Regen +10,Whispers of ancient magic,43.2
444,Frost Stiletto,Weapon,24,Common,Tier 3,2.2,22,0,480,5.7,209,213,Piercing,,+50 Mana on Kill,Holds mysterious power,22
445,Iron Warhammer,Weapon,31,Common,Tier 4,3,30,0,1240,7.6,163,211,Bludgeoning,,Ignore Dodge,Blessed by the gods,30
446,Dark Warhammer of the Warrior,Weapon,48,Epic,Tier 5,4,64,0,36000,14.4,375,524,Bludgeoning,,+25 Health on Kill,Blessed by the gods,102.4
447,Worldbreaker,Weapon,41,Legendary,Tier 5,4,80,0,76875,16.1,595,707,Piercing,,+20 Fire Damage,Crafted with care,160
448,Light Halberd,Weapon,13,Rare,Tier 2,1.5,20,0,585,4.3,186,300,Slashing,,+10 Lightning Damage,Simple but effective,27
449,Hide Cap,Armor,35,Common,Tier 4,3,0,24,1400,8.8,174,262,,Heavy,Mana Regen +5,Bears a royal crest,24
450,Crystal Pauldrons,Armor,6,Common,Tier 1,1,0,8,30,2.5,76,101,,Medium,Movement Speed +10%,Legendary artifact of power,8
451,Steel Bow of Speed,Weapon,42,Rare,Tier 5,4,54,0,14175,12.3,389,414,Piercing,,+5 Poison Damage,Perfectly balanced,72.9
452,Light Halberd of Destruction,Weapon,11,Epic,Tier 2,1.5,24,0,1100,4.7,270,399,Bludgeoning,,+5 Ice Damage,Surprisingly sturdy,38.4
453,Spectral Warhammer of Strength,Weapon,19,Uncommon,Tier 2,1.5,17,0,380,4.5,163,222,Bludgeoning,,Banishes Undead,Found in ancient ruins,19.6
454,Phantom Greatsword,Weapon,34,Uncommon,Tier 4,3,35,0,2720,8.7,263,290,Bludgeoning,,,Masterwork quality,40.3
455,Frost Hatchet,Weapon,30,Rare,Tier 3,2.2,30,0,2700,7.5,214,343,Slashing,,+5 Lightning Damage,Surprisingly lightweight,40.5
456,Dwarven Crown of Iron Will,Armor,44,Epic,Tier 5,4,0,51,33000,16.3,399,515,,Heavy,+1 All Stats,Blessed by the gods,81.6
457,Obsidian Spear,Weapon,23,Rare,Tier 3,2.2,30,0,2070,6.8,210,337,Bludgeoning,,,Shows signs of age,40.5
458,Holy Warhammer,Weapon,46,Rare,Tier 5,4,54,0,15525,12.7,263,437,Piercing,,+10 Fire Damage,Found in ancient ruins,72.9
459,Dark Greatsword,Weapon,27,Common,Tier 3,2.2,22,0,540,6,187,187,Piercing,,+10 Lightning Damage,Decorated with jewels,22
460,Phantom Club,Weapon,10,Common,Tier 1,1,10,0,50,2.5,68,100,Piercing,,+20 Fire Damage,Simple but effective,10
461,Light Knife,Weapon,35,Common,Tier 4,3,30,0,1400,8,269,269,Piercing,,Banishes Undead,Rumored to be cursed,30
462,Ethereal Shortsword of Protection,Weapon,48,Uncommon,Tier 5,4,46,0,7200,11.7,284,374,Slashing,,Stun Chance 10%,Found in ancient ruins,52.9
463,Studded Sabatons of Bravery,Armor,50,Epic,Tier 5,4,0,51,37500,16.8,386,539,,Medium,Magic Resist 10%,Shows signs of age,81.6
464,Iron Shortsword of the Gods,Weapon,9,Epic,Tier 1,1,16,0,450,3.3,283,361,Bludgeoning,,Knockback,Perfectly balanced,25.6
465,Celestial Crossbow,Weapon,4,Rare,Tier 1,1,14,0,90,2.5,237,253,Piercing,,Double Strike 5%,Found in ancient ruins,18.9
466,Holy Hood of the Paladin,Armor,15,Common,Tier 2,1.5,0,12,150,4.2,88,143,,Medium,Ice Resist 10%,A reliable piece of equipment,12
467,Mythril Bow of the Defender,Weapon,35,Common,Tier 4,3,30,0,1400,8,196,242,Bludgeoning,,+10 Ice Damage,Rumored to be cursed,30
468,Elven Shortbow,Weapon,28,Uncommon,Tier 3,2.2,25,0,1120,6.6,224,250,Slashing,,Banishes Undead,Crafted with care,28.8
469,Demon Dirk,Weapon,23,Uncommon,Tier 3,2.2,25,0,920,6.1,164,215,Slashing,,Armor Penetration +10%,Whispers of ancient magic,28.8
470,Frost Shortbow of the Phoenix,Weapon,46,Epic,Tier 5,4,64,0,34500,14.2,361,553,Piercing,,+25 Health on Kill,Recovered from a great battle,102.4
471,Cursed Gloves,Armor,41,Uncommon,Tier 5,4,0,37,6150,12.5,258,313,,Light,Poison Resist 50%,One of a kind,42.6
472,Crystal Buckler of the Knight,Armor,27,Epic,Tier 3,2.2,0,28,5400,9.2,338,476,,Heavy,Immune to Stun,Glows with inner light,44.8
473,Adamant Hatchet,Weapon,19,Common,Tier 2,1.5,15,0,190,4.2,130,164,Bludgeoning,,+5 Ice Damage,Decorated with jewels,15
474,Shadow Katana,Weapon,21,Uncommon,Tier 3,2.2,25,0,840,5.9,195,244,Piercing,,+25 Health on Kill,Marked with runes,28.8
475,Elven Shortbow of Eternity,Weapon,45,Epic,Tier 5,4,64,0,33750,14.1,469,554,Slashing,,,Simple but effective,102.4
476,Orcish Bracers of the Guardian,Armor,6,Uncommon,Tier 1,1,0,9,60,2.7,104,157,,Heavy,Poison Resist 50%,Resistant to corrosion,10.4
477,Silver Rapier,Weapon,4,Common,Tier 1,1,10,0,20,1.9,65,107,Slashing,,Banishes Undead,Holds mysterious power,10
478,Light Trident of Valor,Weapon,28,Common,Tier 3,2.2,22,0,560,6.1,170,214,Piercing,,Banishes Undead,Never dulls,22
479,Ancient Gloves of Defense,Armor,30,Epic,Tier 3,2.2,0,28,6000,9.4,359,458,,Medium,Movement Speed +10%,Found in ancient ruins,44.8
480,Spectral Shoulders,Armor,3,Uncommon,Tier 1,1,0,9,30,2.5,95,116,,Medium,Block Chance +10%,Legendary artifact of power,10.4
481,Enchanted Pants of the Guardian,Armor,15,Common,Tier 2,1.5,0,12,150,4.2,110,141,,Light,Mana Regen +10,Found in ancient ruins,12
482,Dark Staff,Weapon,49,Rare,Tier 5,4,54,0,16538,13,320,483,Piercing,,Knockback,Whispers of ancient magic,72.9
483,Hide Cuirass,Armor,35,Uncommon,Tier 4,3,0,28,2800,9.8,171,284,,Medium,Poison Resist 25%,Simple but effective,32.2
484,Cursed Halberd,Weapon,21,Rare,Tier 3,2.2,30,0,1890,6.6,241,300,Piercing,,Attack Speed +10%,Found in ancient ruins,40.5
485,Soulrender,Weapon,48,Legendary,Tier 5,4,80,0,90000,16.8,614,680,Piercing,,Vampiric,Decorated with jewels,160
486,Holy Scimitar,Weapon,22,Common,Tier 3,2.2,22,0,440,5.5,106,174,Piercing,,+50 Mana on Kill,Holds mysterious power,22
487,Obsidian Dirk,Weapon,3,Common,Tier 1,1,10,0,15,1.8,70,70,Slashing,,Knockback,Surprisingly lightweight,10
488,Royal Greaves,Armor,6,Common,Tier 1,1,0,8,30,2.5,74,98,,Light,+50 Mana,Forged in dragon fire,8
489,Holy Shortsword,Weapon,30,Common,Tier 3,2.2,22,0,600,6.3,162,206,Piercing,,+10 Lightning Damage,Decorated with jewels,22
490,Adamant Rapier,Weapon,25,Uncommon,Tier 3,2.2,25,0,1000,6.3,225,257,Bludgeoning,,+10 Lightning Damage,One of a kind,28.8
491,Flame Rod of Lightning,Weapon,1,Uncommon,Tier 1,1,12,0,10,1.9,105,119,Bludgeoning,,,Battle-tested and true,13.8
492,Obsidian Boots of the Mountain,Armor,46,Epic,Tier 5,4,0,51,34500,16.4,358,575,,Light,,Shows signs of age,81.6
493,Dragon Cleaver of Valor,Weapon,42,Epic,Tier 5,4,64,0,31500,13.8,447,524,Slashing,,Armor Penetration +15%,A reliable piece of equipment,102.4
494,Imperial Tunic of Aegis,Armor,7,Uncommon,Tier 1,1,0,9,70,2.8,93,145,,Heavy,Poison Resist 25%,Imbued with magical energy,10.4
495,Ultimate Chestplate,Armor,49,Legendary,Tier 5,4,0,64,91875,19.9,610,751,,Light,Block Chance +10%,Legendary artifact of power,128
496,Elven Tunic,Armor,2,Common,Tier 1,1,0,8,10,2.2,61,99,,Light,,Forged in dragon fire,8
497,Crystal Scepter,Weapon,44,Uncommon,Tier 5,4,46,0,6600,11.3,227,320,Bludgeoning,,Bleed Damage,Shows signs of age,52.9
498,Silver Longsword of Wisdom,Weapon,35,Rare,Tier 4,3,41,0,6300,9.7,257,394,Slashing,,Critical +20%,Surprisingly lightweight,55.4
499,Shadow Pike of Eternity,Weapon,48,Common,Tier 5,4,40,0,3600,10.8,282,334,Bludgeoning,,,Recently reforged,40
500,Cursed Dagger,Weapon,28,Common,Tier 3,2.2,22,0,560,6.1,203,227,Slashing,,Attack Speed +10%,One of a kind,22
501,Phantom Trident,Weapon,20,Common,Tier 2,1.5,15,0,200,4.3,145,180,Piercing,,Critical +20%,Found in ancient ruins,15
502,Ethereal Rod,Weapon,7,Common,Tier 1,1,10,0,35,2.2,91,103,Bludgeoning,,Attack Speed +10%,Recently reforged,10
503,Ancient Boots,Armor,3,Common,Tier 1,1,0,8,15,2.2,42,68,,Light,Block Chance +15%,Simple but effective,8
504,Holy Leggings,Armor,33,Rare,Tier 4,3,0,32,5940,10.6,210,324,,Medium,Immune to Stun,Whispers of ancient magic,43.2
505,Adamant Bow of Ice,Weapon,3,Common,Tier 1,1,10,0,15,1.8,59,97,Bludgeoning,,Lifesteal 5%,Holds mysterious power,10
506,Light Knife,Weapon,23,Common,Tier 3,2.2,22,0,460,5.6,130,193,Slashing,,Lifesteal 10%,Recovered from a great battle,22
507,Steel Pike of Lightning,Weapon,8,Uncommon,Tier 1,1,12,0,80,2.6,123,185,Bludgeoning,,+20 Ice Damage,Glows with inner light,13.8
508,Dragon Stiletto,Weapon,3,Rare,Tier 1,1,14,0,68,2.4,115,172,Slashing,,+10 Ice Damage,Perfectly balanced,18.9
509,Obsidian Pike of Protection,Weapon,48,Rare,Tier 5,4,54,0,16200,12.9,297,477,Bludgeoning,,Splash Damage,Recovered from a great battle,72.9
510,Steel Sword,Weapon,16,Common,Tier 2,1.5,15,0,160,3.9,137,177,Piercing,,Knockback,Rumored to be cursed,15
511,Divine Helmet,Armor,44,Legendary,Tier 5,4,0,64,82500,19.5,492,751,,Heavy,Fire Resist 25%,Once wielded by a hero,128
512,Demon Katana,Weapon,31,Uncommon,Tier 4,3,35,0,2480,8.4,188,295,Slashing,,+5 Fire Damage,Surprisingly sturdy,40.3
513,Crystal Dirk,Weapon,27,Rare,Tier 3,2.2,30,0,2430,7.2,242,371,Piercing,,+10 Ice Damage,Surprisingly sturdy,40.5
514,Scale Breastplate of Warding,Armor,1,Common,Tier 1,1,0,8,5,2.1,55,71,,Light,Lightning Resist 25%,Perfectly balanced,8
515,Dwarven Boots of Absorption,Armor,30,Common,Tier 3,2.2,0,18,600,6.9,150,204,,Light,Health Regen +5,Decorated with jewels,18
516,Light Scimitar,Weapon,29,Common,Tier 3,2.2,22,0,580,6.2,170,245,Slashing,,+15 Ice Damage,Simple but effective,22
517,Silver Club,Weapon,24,Uncommon,Tier 3,2.2,25,0,960,6.2,188,267,Slashing,,+15 Ice Damage,Recovered from a great battle,28.8
518,Holy Bow of Valor,Weapon,14,Epic,Tier 2,1.5,24,0,1400,5,274,396,Bludgeoning,,+50 Mana on Kill,Forged by skilled hands,38.4
519,Arcane Greatsword,Weapon,17,Common,Tier 2,1.5,15,0,170,4,132,145,Bludgeoning,,+15 Fire Damage,Forged by skilled hands,15
520,Frost Battleaxe of Strength,Weapon,17,Epic,Tier 2,1.5,24,0,1700,5.3,224,345,Slashing,,Extra Damage vs Demons,Legendary artifact of power,38.4
521,Cursed Cloak of the Mountain,Armor,31,Epic,Tier 4,3,0,38,12400,12,364,458,,Heavy,Fire Resist 50%,Holds mysterious power,60.8
522,Dragon Shortbow,Weapon,39,Common,Tier 4,3,30,0,1560,8.4,201,258,Piercing,,Soul Eater,Simple but effective,30
523,Plate Gauntlets,Armor,9,Rare,Tier 1,1,0,11,203,3.5,184,290,,Heavy,Movement Speed +10%,Surprisingly lightweight,14.9
524,Blessed Sword,Weapon,41,Rare,Tier 5,4,54,0,13838,12.2,377,451,Piercing,,Armor Penetration +10%,Shows signs of age,72.9
525,Frost Scimitar,Weapon,6,Common,Tier 1,1,10,0,30,2.1,116,123,Bludgeoning,,Critical +10%,Holds mysterious power,10
526,Imperial Sabatons of Stone,Armor,21,Epic,Tier 3,2.2,0,28,4200,8.7,293,400,,Heavy,Damage Reduction 10%,Worn by many warriors,44.8
527,Iron Dagger of Fire,Weapon,22,Legendary,Tier 3,2.2,44,0,11000,8.8,580,623,Piercing,,Vampiric,Surprisingly lightweight,88
528,Holy Rod,Weapon,36,Uncommon,Tier 4,3,35,0,2880,8.9,234,291,Bludgeoning,,Banishes Undead,Rumored to be cursed,40.3
529,Light Halberd of Wisdom,Weapon,6,Common,Tier 1,1,10,0,30,2.1,82,86,Piercing,,+10 Ice Damage,Perfectly balanced,10
530,Blessed Robe,Armor,45,Uncommon,Tier 5,4,0,37,6750,12.9,315,327,,Light,Poison Resist 50%,Whispers of ancient magic,42.6
531,Scale Vest,Armor,18,Uncommon,Tier 2,1.5,0,14,360,4.9,178,219,,Heavy,+50 Mana,Found in ancient ruins,16.1
532,Chain Breastplate,Armor,22,Common,Tier 3,2.2,0,18,440,6.3,130,170,,Light,+25 Health,Shows signs of age,18
533,Ancient Crossbow,Weapon,42,Common,Tier 5,4,40,0,3150,10.2,174,266,Piercing,,+10 Ice Damage,Simple but effective,40
534,Dark Trident,Weapon,2,Common,Tier 1,1,10,0,10,1.7,64,104,Bludgeoning,,Attack Speed +10%,Perfectly balanced,10
535,Celestial Trident,Weapon,4,Rare,Tier 1,1,14,0,90,2.5,158,255,Slashing,,Knockback,Marked with runes,18.9
536,Cursed Scepter,Weapon,24,Rare,Tier 3,2.2,30,0,2160,6.9,260,293,Piercing,,+10 Fire Damage,Battle-tested and true,40.5
537,Obsidian Rod of Fire,Weapon,49,Epic,Tier 5,4,64,0,36750,14.5,442,569,Bludgeoning,,Bleed Damage,One of a kind,102.4
538,Ethereal War Axe,Weapon,48,Rare,Tier 5,4,54,0,16200,12.9,414,421,Piercing,,Attack Speed +10%,Crafted by master artisans,72.9
539,Shadow Gauntlets,Armor,29,Common,Tier 3,2.2,0,18,580,6.8,172,234,,Light,Movement Speed +10%,Holds mysterious power,18
540,Silver Dagger of Light,Weapon,5,Uncommon,Tier 1,1,12,0,50,2.3,114,135,Piercing,,Ignore Dodge,Once wielded by a hero,13.8
541,Shadow Morning Star,Weapon,2,Common,Tier 1,1,10,0,10,1.7,57,89,Piercing,,+10 Ice Damage,Legendary artifact of power,10
542,Frost Halberd,Weapon,1,Common,Tier 1,1,10,0,5,1.6,43,60,Bludgeoning,,+50 Mana on Kill,Marked with runes,10
543,Rusty Sword,Weapon,12,Rare,Tier 2,1.5,20,0,540,4.2,248,285,Piercing,,,Crafted by master artisans,27
544,Light Flail,Weapon,20,Common,Tier 2,1.5,15,0,200,4.3,104,173,Piercing,,Armor Penetration +10%,Holds mysterious power,15
545,Holy Scepter of Life,Weapon,24,Common,Tier 3,2.2,22,0,480,5.7,173,204,Piercing,,+5 Ice Damage,Worn by many warriors,22
546,Obsidian Shortbow,Weapon,25,Uncommon,Tier 3,2.2,25,0,1000,6.3,191,269,Piercing,,Armor Penetration +10%,Blessed by the gods,28.8
547,Light Pike of Glory,Weapon,34,Common,Tier 4,3,30,0,1360,7.9,183,240,Slashing,,Armor Penetration +15%,Surprisingly sturdy,30
548,Enchanted Wand,Weapon,17,Uncommon,Tier 2,1.5,17,0,340,4.3,206,234,Piercing,,Critical +15%,Whispers of ancient magic,19.6
549,Rusty Rod of Might,Weapon,8,Epic,Tier 1,1,16,0,400,3.2,270,376,Bludgeoning,,+5 Lightning Damage,Fitted for comfort,25.6
550,Steel Pike of Eternity,Weapon,13,Legendary,Tier 2,1.5,30,0,3250,5.8,435,587,Piercing,,Extra Damage vs Dragons,Surprisingly lightweight,60
551,Dark Hood of Aegis,Armor,26,Uncommon,Tier 3,2.2,0,20,1040,7.1,226,258,,Medium,Damage Reduction 10%,Bears a royal crest,23
552,Holy Cleaver of the Mage,Weapon,24,Uncommon,Tier 3,2.2,25,0,960,6.2,219,259,Piercing,,,Surprisingly sturdy,28.8
553,Enchanted War Axe,Weapon,38,Uncommon,Tier 4,3,35,0,3040,9.1,266,307,Slashing,,Critical +15%,Worn by many warriors,40.3
554,Blessed Spear of Valor,Weapon,37,Common,Tier 4,3,30,0,1480,8.2,169,244,Bludgeoning,,+25 Health on Kill,Resistant to corrosion,30
555,Orcish Gauntlets of Courage,Armor,1,Rare,Tier 1,1,0,11,23,2.8,153,183,,Heavy,Block Chance +10%,Never dulls,14.9
556,Dark Rapier,Weapon,23,Common,Tier 3,2.2,22,0,460,5.6,167,208,Piercing,,+10 Ice Damage,Whispers of ancient magic,22
557,Crystal Axe of Protection,Weapon,35,Rare,Tier 4,3,41,0,6300,9.7,343,411,Bludgeoning,,Cannot be Blocked,Surprisingly lightweight,55.4
558,Adamant Scepter,Weapon,11,Uncommon,Tier 2,1.5,17,0,220,3.7,156,176,Bludgeoning,,Armor Penetration +10%,Legendary artifact of power,19.6
559,Iron Cap of Shielding,Armor,39,Rare,Tier 4,3,0,32,7020,11.1,261,374,,Light,+50 Mana,Decorated with jewels,43.2
560,Spectral Helmet of Protection,Armor,11,Uncommon,Tier 2,1.5,0,14,220,4.4,158,198,,Heavy,Poison Resist 50%,Decorated with jewels,16.1
561,Mythril Bow of Fire,Weapon,18,Epic,Tier 2,1.5,24,0,1800,5.4,420,431,Piercing,,Bleed Damage,A reliable piece of equipment,38.4
562,Demon Bow,Weapon,8,Rare,Tier 1,1,14,0,180,2.9,251,261,Slashing,,Extra Damage vs Dragons,Imbued with magical energy,18.9
563,Mythril Kite Shield of the Protector,Armor,22,Rare,Tier 3,2.2,0,24,1980,7.8,242,357,,Light,Movement Speed +10%,Resistant to corrosion,32.4
564,Phantom Lance,Weapon,28,Uncommon,Tier 3,2.2,25,0,1120,6.6,240,245,Bludgeoning,,+5 Lightning Damage,Imbued with magical energy,28.8
565,Crystal Club of Order,Weapon,11,Rare,Tier 2,1.5,20,0,495,4.1,171,217,Bludgeoning,,Lifesteal 5%,Glows with inner light,27
566,Elven Warhammer,Weapon,19,Common,Tier 2,1.5,15,0,190,4.2,93,154,Bludgeoning,,+15 Fire Damage,Crafted with care,15
567,Iron Hood of Courage,Armor,21,Rare,Tier 3,2.2,0,24,1890,7.7,175,290,,Heavy,Fire Resist 25%,Once wielded by a hero,32.4
